time,gx,gy,gz,leftPWM,rightPWM
1760091211.5351913,0,0,0,80,80
1760091211.5450041,0,0,0,80,80
1760091211.5778553,0,0,0,80,80
1760091211.6137123,0,0,0,80,80
1760091211.6438656,0,0,0,80,80
1760091211.676841,0,0,0,80,80
1760091211.7255068,0,0,0,80,80
1760091211.7426405,0,0,0,80,80
1760091211.7829773,0,0,0,80,80
1760091211.8157754,0,0,0,80,80
1760091211.8464787,0,0,0,80,80
1760091211.8832102,0,0,0,80,80
1760091211.9090927,0,0,0,80,80
1760091211.9450867,0,0,0,80,80
1760091211.975914,0,0,0,80,80
1760091212.0194933,0,0,0,80,80
1760091212.0480604,0,0,0,80,80
1760091212.0814936,0,0,0,80,80
1760091212.1104085,0,0,0,80,80
1760091212.1437774,0,0,0,80,80
1760091212.1835835,0,0,0,80,80
1760091212.2106285,0,0,0,80,80
1760091212.2552118,0,0,0,80,80
1760091212.2784612,0,0,0,80,80
1760091212.3106558,0,0,0,80,80
1760091212.3482494,0,0,0,80,80
1760091212.394671,0,0,0,80,80
1760091212.414333,0,0,0,80,80
1760091212.4588108,0,0,0,80,80
1760091212.482615,0,0,0,80,80
1760091212.525225,0,0,0,80,80
1760091212.5480382,0,0,0,80,80
1760091212.5764916,0,0,0,80,80
1760091212.6109078,0,0,0,80,80
1760091212.643476,0,0,0,80,80
1760091212.6824982,0,0,0,80,80
1760091212.7098784,0,0,0,80,80
1760091212.7574098,0,0,0,80,80
1760091212.774794,0,0,0,80,80
1760091212.8091164,0,0,0,80,80
1760091212.854968,0,0,0,80,80
1760091212.8905635,0,0,0,80,80
1760091212.9226677,0,0,0,80,80
1760091212.9465659,0,0,0,80,80
1760091212.9779105,0,0,0,80,80
1760091213.008675,0,0,0,80,80
1760091213.0426762,0,0,0,80,80
1760091213.0893834,0,0,0,80,80
1760091213.1143672,0,0,0,80,80
1760091213.1515484,0,0,0,80,80
1760091213.1742964,0,0,0,80,80
1760091213.2088647,0,0,0,80,80
1760091213.2428493,0,0,0,80,80
1760091213.284832,0,0,0,80,80
1760091213.3126814,0,0,0,80,80
1760091213.344053,0,0,0,80,80
1760091213.3793705,0,0,0,80,80
1760091213.4085114,0,0,0,80,80
1760091213.4480655,0,0,0,80,80
1760091213.478273,0,0,0,80,80
1760091213.5230756,0,0,0,80,80
1760091213.550819,0,0,0,80,80
1760091213.6178167,0,0,0,80,80
1760091213.6485243,0,0,0,80,80
1760091213.6580777,0,0,0,80,80
1760091213.6749914,0,0,0,80,80
1760091213.709087,0,0,0,80,80
1760091213.7549286,0,0,0,80,80
1760091213.7809174,0,0,0,80,80
1760091213.8203716,0,0,0,80,80
1760091213.867759,0,0,0,80,80
1760091213.8840141,0,0,0,80,80
1760091213.925318,0,0,0,80,80
1760091213.9619687,0,0,0,80,80
1760091213.9962425,0,0,0,80,80
1760091214.0373402,0,0,0,80,80
1760091214.084943,0,0,0,80,80
1760091214.1056547,0,0,0,80,80
1760091214.1406214,0,0,0,80,80
1760091214.171157,0,0,0,80,80
1760091214.2218466,0,0,0,80,80
1760091214.2672656,0,0,0,80,80
1760091214.3106341,0,0,0,80,80
1760091214.36559,0,0,0,80,80
1760091214.3879654,0,0,0,80,80
1760091214.3922243,0,0,0,80,80
1760091214.4086149,0,0,0,80,80
1760091214.441014,0,0,0,80,80
1760091214.501614,0,0,0,80,80
1760091214.5239964,0,0,0,80,80
1760091214.54922,0,0,0,80,80
1760091214.578127,0,0,0,80,80
1760091214.6135125,0,0,0,80,80
1760091214.6565158,0,0,0,80,80
1760091214.696621,0,0,0,80,80
1760091214.7247357,0,0,0,80,80
1760091214.7536554,0,0,0,80,80
1760091214.7896678,0,0,0,80,80
1760091214.8133867,0,0,0,80,80
1760091214.8448648,0,0,0,80,80
